"Freshwater.type" "Diversity.decay.parameter" "Dispersal" "Descriptors" "Estimate" "Std..Error" "z.value" "Pr...z.."
"Temporary" "Collapsing rate (q)" "0.001 km" "s(Betw_CV)" 2.71787401352 4 14.5324782997812 0.000507776548455574
"Temporary" "Collapsing rate (q)" "0.001 km" "s(OutDeg_Med)" 0.956074101775352 2 21.77467825825 1.32864306712221e-06
"Temporary" "Collapsing rate (q)" "0.001 km" "s(WatCov_Mean)" 0.000134863956872491 2 4.18978616244255e-05 0.687182408090934
"Temporary" "Proportional decay rate (b)" "0.1 km" "(Intercept)" 0.341083395648614 0.0830709713692362 4.10592761859683 4.02695573121555e-05
"Temporary" "Proportional decay rate (b)" "0.1 km" "s(Long)" 7.62900043103637e-06 2 8.6832122455633e-07 0.881073163082437
"Temporary" "Proportional decay rate (b)" "0.1 km" "s(Lat)" 0.500461494865614 2 0.993778210002195 0.158372002360286
"Temporary" "Proportional decay rate (b)" "0.1 km" "s(Betw_CV)" 3.17392720404676e-06 4 1.87583729392748e-06 0.510295037394553
"Temporary" "Proportional decay rate (b)" "0.1 km" "s(OutDeg_Med)" 0.249603076226104 2 0.338872798944845 0.243314732829173
"Temporary" "Proportional decay rate (b)" "0.1 km" "s(WatCov_Mean)" 7.3552726910921e-06 2 2.22296962864545e-06 0.65944269363985
"Temporary" "Collapsing rate (q)" "0.1 km" "(Intercept)" -0.669063123027304 0.0041214918708996 -162.335179586625 0
"Temporary" "Collapsing rate (q)" "0.1 km" "s(Long)" 0.38724137089409 2 0.631984453348974 0.19805468291454
"Temporary" "Collapsing rate (q)" "0.1 km" "s(Lat)" 0.715319933699494 2 2.51440529963393 0.0548858916586301
"Temporary" "Collapsing rate (q)" "0.1 km" "s(Betw_CV)" 0.73741195627739 4 2.80737604239799 0.0443145767631871
"Temporary" "Collapsing rate (q)" "0.1 km" "s(OutDeg_Med)" 0.895705414836737 2 8.59804286805858 0.00185028136366161
"Temporary" "Collapsing rate (q)" "0.1 km" "s(WatCov_Mean)" 1.78043587105148e-05 2 9.04559615474507e-06 0.53485767431221
"Temporary" "Proportional decay rate (b)" "0.5 km" "(Intercept)" 0.487957075453732 0.0727107845777308 6.71093123650847 1.93386231366427e-11
